UNIT,TYPE,INITIAL_LOCATION,DATE_TIME_BEGIN,FINAL_LOCATION,DATE_TIME_END,DURATION,DESCRIPTION,LEVEL,INSERT_TIME_ORA
O5422DT013,Parking,Barak Afd J,2025-01-02 17:00:49.000 Z,Barak Afd J,2025-01-02 22:15:25.000 Z,5:14:36,,1.1.1.1,2025-01-04 01:57:07.218
O5422DT016,Parking,DLJ2_KJ2_W13MR1,2025-01-03 07:09:09.000 Z,DLJ2_KJ2_W13MR1,2025-01-03 07:16:58.000 Z,0:07:49,,1.2.1.10,2025-01-04 01:57:11.339
O5422DT016,Trip,DLJ2_KJ2_W13MR1,2025-01-03 07:16:58.000 Z,W14CR1,2025-01-03 07:20:16.000 Z,0:03:18,Mileage: 0.92 km,1.2.1.11,2025-01-04 01:57:11.339
O5422DT016,Parking,W14CR1,2025-01-03 07:20:16.000 Z,W14CR1,2025-01-03 08:28:00.000 Z,1:07:44,,1.2.1.12,2025-01-04 01:57:11.339
O5422DT016,Trip,W14CR1,2025-01-03 08:28:00.000 Z,W14CT3,2025-01-03 09:38:54.000 Z,1:10:54,Mileage: 2.04 km,1.2.1.13,2025-01-04 01:57:11.339
O5422DT016,Parking,W14CT3,2025-01-03 09:38:54.000 Z,W14CT3,2025-01-03 09:58:41.000 Z,0:19:47,,1.2.1.14,2025-01-04 01:57:11.339
O5422DT016,Trip,W14CT3,2025-01-03 09:58:41.000 Z,DLJ2_KJ1_V10CT1,2025-01-03 10:12:10.000 Z,0:13:29,Mileage: 2.59 km,1.2.1.15,2025-01-04 01:57:11.339
O5422DT016,Parking,DLJ2_KJ1_V10CT1,2025-01-03 10:12:10.000 Z,DLJ2_KJ1_V10CT1,2025-01-03 10:18:15.000 Z,0:06:05,,1.2.1.16,2025-01-04 01:57:11.339
O5422DT040,Parking,Quary AFD L,2025-01-02 23:15:24.000 Z,Quary AFD L,2025-01-02 23:22:28.000 Z,0:07:04,,1.6.1.17,2025-01-04 01:57:42.528
O5422DT040,Trip,Quary AFD L,2025-01-02 23:22:28.000 Z,Quary AFD L,2025-01-02 23:23:23.000 Z,0:00:55,Mileage: 0.08 km,1.6.1.18,2025-01-04 01:57:42.528
O5422DT040,Parking,Quary AFD L,2025-01-02 23:23:23.000 Z,Quary AFD L,2025-01-02 23:47:50.000 Z,0:24:27,,1.6.1.19,2025-01-04 01:57:42.528
O5121HL011,Parking,Barak Umum,2025-01-02 17:00:16.000 Z,Barak Umum,2025-01-03 23:40:03.000 Z,30:39:47,,1.1.1.1,2025-01-04 07:41:00.660
O5121HL012,Parking,MILL,2025-01-03 13:28:29.000 Z,MILL,2025-01-03 13:55:53.000 Z,0:27:24,,1.2.1.13,2025-01-04 07:41:02.837
O5121HL014,Parking,Barak Afd J,2025-01-02 17:00:52.000 Z,Barak Afd J,2025-01-02 20:47:31.000 Z,3:46:39,,1.1.1.1,2025-01-04 07:41:06.642
O5121HL014,Parking,Barak Afd G,2025-01-03 14:29:58.000 Z,Barak Afd G,2025-01-03 23:03:38.000 Z,8:33:40,,1.2.1.21,2025-01-04 07:41:06.642
O5121HL029,Parking,GUDANG,2025-01-03 23:37:03.000 Z,GUDANG,2025-01-04 00:41:15.000 Z,1:04:12,,1.2.1.32,2025-01-04 07:41:32.460
O5421DT030,Parking,"2.144575, 117.473850",2025-01-02 17:00:41.000 Z,"2.144575, 117.473850",2025-01-02 17:32:06.000 Z,0:31:25,,1.1.1.1,2025-01-04 07:41:35.796
O5421DT030,Parking,Barak Afd F,2025-01-03 10:06:46.000 Z,Barak Afd F,2025-01-03 10:47:50.000 Z,0:41:04,,1.2.1.13,2025-01-04 07:41:35.796
O5421DT030,Parking,Barak Afd F,2025-01-03 12:15:48.000 Z,Barak Afd F,2025-01-03 12:38:25.000 Z,0:22:37,,1.2.1.19,2025-01-04 07:41:35.796
O5422DT009,Parking,Y10CR2,2025-01-02 17:00:29.000 Z,Y10CR2,2025-01-02 21:53:22.000 Z,4:52:53,,1.1.1.1,2025-01-04 07:41:38.709
